name,type,start_time,duration,"error","data","ack","address","read"
"I2C","data",400.458831562,0.0000865,,0x00,true,,
"I2C","data",400.458973188,0.0000865,,0x4E,false,,
"I2C","stop",400.459124313,0.000000063,,,,,
"I2C","start",405.213484375,0.000000062,,,,,
"I2C","address",405.213494625,0.0000865,,,true,0x0B,false
"I2C","data",405.213586313,0.00017875,,0xD5,true,,
"I2C","start",405.21377525,0.000000063,,,,,
"I2C","address",405.2137855,0.0000865,,,true,0x0B,true
"I2C","data",405.213970562,0.0000865,,0x00,true,,
"I2C","data",405.214114125,0.0000865,,0x00,true,,
"I2C","data",405.214320187,0.0000865,,0x4E,false,,
"I2C","stop",405.214528062,0.000000063,,,,,
"I2C","start",405.215060312,0.000000063,,,,,
"I2C","address",405.215070562,0.0000865,,,true,0x0B,false
"I2C","data",405.21516225,0.000177187,,0xD3,true,,
"I2C","data",405.215344688,0.000131125,,0x00,true,,
"I2C","data",405.215481062,0.000133563,,0x00,true,,
"I2C","data",405.215619875,0.0001335,,0x81,true,,
"I2C","stop",405.215763812,0.000000063,,,,,
"I2C","start",405.215774,0.000000062,,,,,
"I2C","address",405.215784187,0.0000865,,,true,0x0B,false
"I2C","data",405.215875938,0.000221375,,0x18,true,,
"I2C","start",405.2161075,0.000000062,,,,,
"I2C","address",405.21611775,0.000086437,,,true,0x0B,true
"I2C","data",405.216260813,0.0000865,,0xC8,true,,
"I2C","data",405.216404,0.0000865,,0x05,true,,
"I2C","data",405.21654575,0.000086437,,0x44,false,,
"I2C","stop",405.216696063,0.000000063,,,,,
"I2C","start",405.216705438,0.000000062,,,,,
"I2C","address",405.216715688,0.000086437,,,true,0x0B,false
"I2C","data",405.216807375,0.000223813,,0x17,true,,
"I2C","start",405.217041375,0.000000062,,,,,
"I2C","address",405.217051625,0.0000865,,,true,0x0B,true
"I2C","data",405.217195125,0.0000865,,0x63,true,,
"I2C","data",405.21733825,0.0000865,,0x00,true,,
"I2C","data",405.21748,0.0000865,,0x02,false,,
"I2C","stop",405.217630312,0.000000063,,,,,
"I2C","start",405.217768938,0.000000062,,,,,
"I2C","address",405.217779125,0.0000865,,,true,0x0B,false
"I2C","data",405.217870812,0.000163125,,0x19,true,,
"I2C","start",405.218044125,0.000000063,,,,,
"I2C","address",405.218054312,0.0000865,,,true,0x0B,true
"I2C","data",405.218197438,0.000086438,,0x88,true,,
"I2C","data",405.218340562,0.0000865,,0x2C,true,,
"I2C","data",405.218482375,0.0000865,,0xD6,false,,
"I2C","stop",405.218632625,0.000000063,,,,,
"I2C","start",405.218643812,0.000000063,,,,,
"I2C","address",405.218654062,0.000086438,,,true,0x0B,false
"I2C","data",405.21874575,0.000224687,,0x1B,true,,
"I2C","start",405.218980625,0.000000063,,,,,
"I2C","address",405.218990813,0.0000865,,,true,0x0B,true
"I2C","data",405.219133875,0.0000865,,0x3E,true,,
"I2C","data",405.219277062,0.0000865,,0x4B,true,,
"I2C","data",405.219418813,0.0000865,,0xF9,false,,
"I2C","stop",405.219569125,0.000000062,,,,,
"I2C","start",405.2200615,0.000000063,,,,,
"I2C","address",405.220071688,0.0000865,,,true,0x0B,false
"I2C","data",405.220163437,0.000167562,,0x1C,true,,
"I2C","start",405.220341188,0.000000062,,,,,
"I2C","address",405.220351438,0.0000865,,,true,0x0B,true
"I2C","data",405.220495,0.0000865,,0x98,true,,
"I2C","data",405.220638188,0.000086438,,0x03,true,,
"I2C","data",405.220779938,0.0000865,,0x02,false,,
"I2C","stop",405.220931125,0.000000063,,,,,
"I2C","start",405.220941563,0.000000063,,,,,
"I2C","address",405.22095175,0.0000865,,,true,0x0B,false
"I2C","data",405.2210435,0.000216,,0x20,true,,
"I2C","start",405.221269688,0.000000062,,,,,
"I2C","address",405.221279938,0.0000865,,,true,0x0B,true
"I2C","data",405.22142475,0.0000865,,0x07,true,,
"I2C","data",405.221569812,0.0000865,,0x41,true,,
"I2C","data",405.221715813,0.0000865,,0x54,true,,
"I2C","data",405.221861875,0.0000865,,0x4C,true,,
"I2C","data",405.22208525,0.0000865,,0x20,true,,
"I2C","data",405.222288063,0.0000865,,0x4E,true,,
"I2C","data",405.222433562,0.000086437,,0x56,true,,
"I2C","data",405.2225795,0.0000865,,0x54,true,,
"I2C","data",405.222721687,0.0000865,,0x37,true,,
"I2C","data",405.222868125,0.0000865,,0x37,true,,
"I2C","data",405.223009438,0.0000865,,0x37,true,,
"I2C","data",405.223146438,0.0000865,,0x37,true,,
"I2C","data",405.223283,0.000086438,,0x37,true,,
"I2C","data",405.2234195,0.0000865,,0x37,true,,
"I2C","data",405.223556,0.0000865,,0x37,true,,
"I2C","data",405.223693438,0.000086438,,0x37,true,,
"I2C","data",405.223830813,0.0000865,,0x37,true,,
"I2C","data",405.223968188,0.0000865,,0x37,true,,
"I2C","data",405.224105625,0.000086438,,0x37,true,,
"I2C","data",405.224243,0.0000865,,0x37,true,,
"I2C","data",405.224380437,0.0000865,,0x37,true,,
"I2C","data",405.224517,0.000086437,,0x37,false,,
"I2C","stop",405.224658687,0.000000063,,,,,
"I2C","start",405.225094188,0.000000062,,,,,
"I2C","address",405.225104438,0.000086438,,,true,0x0B,false
"I2C","data",405.225196125,0.000159062,,0x21,true,,
"I2C","start",405.225365375,0.000000062,,,,,
"I2C","address",405.225375625,0.0000865,,,true,0x0B,true
"I2C","data",405.225520062,0.0000865,,0x06,true,,
"I2C","data",405.225665187,0.0000865,,0x44,true,,
"I2C","data",405.225810313,0.0000865,,0x4A,true,,
"I2C","data",405.225955437,0.0000865,,0x49,true,,
"I2C","data",405.226100625,0.000086437,,0x30,true,,
"I2C","data",405.22624575,0.0000865,,0x31,true,,
"I2C","data",405.226390875,0.0000865,,0x36,true,,
"I2C","data",405.226532188,0.0000865,,0x66,true,,
"I2C","data",405.226677812,0.0000865,,0x66,true,,
"I2C","data",405.226819125,0.0000865,,0x66,true,,
"I2C","data",405.226956187,0.0000865,,0x66,true,,
"I2C","data",405.22709275,0.000086437,,0x66,true,,
"I2C","data",405.227230188,0.000086438,,0x66,true,,
"I2C","data",405.227367625,0.0000865,,0x66,true,,
"I2C","data",405.227505062,0.0000865,,0x66,true,,
"I2C","data",405.227642563,0.0000865,,0x66,true,,
"I2C","data",405.227779062,0.0000865,,0x66,true,,
"I2C","data",405.227915625,0.000086438,,0x66,true,,
"I2C","data",405.228052125,0.0000865,,0x66,true,,
"I2C","data",405.228189563,0.0000865,,0x66,true,,
"I2C","data",405.228327,0.0000865,,0x66,true,,
"I2C","data",405.228464438,0.0000865,,0x66,false,,
"I2C","stop",405.228606188,0.000000063,,,,,
"I2C","start",405.230198875,0.000000063,,,,,
"I2C","address",405.230209063,0.0000865,,,true,0x0B,false
"I2C","data",405.23030075,0.00015725,,0x00,true,,
"I2C","data",405.230463187,0.00013125,,0x51,true,,
"I2C","data",405.230599625,0.000133562,,0x00,true,,
"I2C","data",405.230738438,0.000133562,,0x0A,true,,
"I2C","stop",405.230882437,0.000000063,,,,,
"I2C","start",405.23088975,0.000000062,,,,,
"I2C","address",405.2309,0.000086437,,,true,0x0B,false
"I2C","data",405.230991688,0.001191062,,0x23,true,,
"I2C","start",405.232192937,0.000000063,,,,,
"I2C","address",405.232203187,0.000086438,,,true,0x0B,true
"I2C","data",405.232347563,0.0000865,,0x04,true,,
"I2C","data",405.232492562,0.0000865,,0x00,true,,
"I2C","data",405.232638625,0.000086437,,0x00,true,,
"I2C","data",405.232784625,0.0000865,,0x00,true,,
"I2C","data",405.232930688,0.0000865,,0x00,true,,
